"year","road_type","road_nm","volume"
2020,"간선","헌릉로(세곡동사거리)",62667
2020,"간선","노들로",59623
2020,"간선","테헤란로(선릉역)",68434
2020,"간선","강남대로(신사역)",69076
2020,"간선","백제고분로(종합운동장)",36845
2020,"간선","송파대로(송파역)",75776
2021,"간선","진흥로(구기터널)",42541
2021,"간선","평창문화로(북악터널)",41546
2021,"간선","동호로(금호터널)",61491
2021,"간선","서빙고로(한남역)",86338
2021,"간선","천호대로(군자교)",81095
2021,"간선","뚝섬로(용비교)",65644
2021,"간선","동일로(군자교)",64612
2021,"간선","화랑로(상월곡역)",67567
2021,"간선","동소문로(길음교사거리)",55686
2021,"간선","화랑로(화랑대역)",67211
2021,"간선","도봉로(쌍문역)",43027
2021,"간선","동부간선도로(월계1교)",119920
2021,"간선","동일로(노원역)",37561
2021,"간선","증산로(디지털미디어시티역)",63470
2021,"간선","통일로(산골고개정류장)",65581
2021,"간선","성산로(연희IC)",73568
2021,"간선","연희로(연희IC)",34854
2021,"간선","남부순환도로(화곡로입구교차로)",72080
2021,"간선","남부순환로(신월IC)",107216
2021,"간선","강서로(화곡터널)",37711
2021,"간선","공항대로(발산역)",50328
2021,"간선","경인로(오류IC)",46216
2021,"간선","경인로(거리공원입구교차로)",46190
2021,"간선","시흥대로(시흥IC)",78500
2021,"간선","영등포로(오목교)",55163
2021,"간선","시흥대로(구로디지털단지역)",70587
2021,"간선","국회대로(여의2교)",53722
2021,"간선","경인로(서울교)",90915
2021,"간선","여의대방로(여의교)",82385
2021,"간선","양녕로(상도터널)",67482
2021,"간선","동작대로(총신대)",82634
2021,"간선","문성로(난곡터널)",15411
2021,"간선","남부순환로(낙성대역)",90723
2021,"간선","남부순환로(예술의전당)",82399
2021,"간선","강남대로(강남역-신분당)",53898
2021,"간선","사평대로(고속터미널역)",83240
2021,"간선","반포대로(서초역)",81650
2021,"간선","언주로(매봉터널)",58894
2021,"간선","남부순환로(수서IC)",97512
2021,"간선","헌릉로(세곡동사거리)",63340
2021,"간선","노들로",57855
2021,"간선","테헤란로(선릉역)",65162
2021,"간선","강남대로(신사역)",64676
2021,"간선","백제고분로(종합운동장)",36939
2021,"간선","송파대로(송파역)",74952
2018,"시계","도봉로(도봉산역)",55520
2018,"시계","동일로(의정부IC)",107780
2018,"시계","아차산로(워커힐)",31681
2018,"시계","망우로(망우리공원)",33307
2018,"시계","경춘북로(중랑경찰서)",51991
2018,"시계","화랑로(조선왕릉)",45702
2018,"시계","북부간선도로(신내IC)",128022
2018,"시계","서하남로(서하남IC)",103775
2018,"시계","천호대로(상일IC)",82115
2018,"시계","올림픽대로(강일IC)",199281
2018,"시계","경부고속도로(양재IC)",192632
2018,"시계","송파대로(복정역)",63996
2018,"시계","밤고개로(세곡동사거리)",46886
2018,"시계","분당수서로(성남시계)",112566
2018,"시계","과천대로(남태령역)",66936
2018,"시계","양재대로(양재IC)",128453
2018,"시계","반포대로(우면산터널)",69553
2018,"시계","시흥대로(석수역)",92896
2018,"시계","금오로(광명시계)",12055
2018,"시계","오리로(광명시계)",30394
2018,"시계","개봉로(개봉교)",28324
2018,"시계","광명대교(광명시계)",35484
2018,"시계","철산교(광명시계)",45754
2018,"시계","금천교(광명시계)",59893
