year,sgis_si,sgis_gu,road_stts,road_len,road_area,road_rt
1995,서울시,성북구,포장,463849,-,
1995,서울시,강북구,포장,187920,-,
1995,서울시,도봉구,포장,223456,-,
1995,서울시,노원구,포장,174103,-,
1995,서울시,은평구,포장,246838,-,
1995,서울시,서대문구,포장,255494,-,
1995,서울시,마포구,포장,377093,-,
1995,서울시,양천구,포장,294870,-,
1995,서울시,강서구,포장,288409,-,
1995,서울시,구로구,포장,173687,-,
1995,서울시,금천구,포장,138792,-,
1995,서울시,영등포구,포장,335647,-,
1995,서울시,동작구,포장,165568,-,
1995,서울시,관악구,포장,262387,-,
1995,서울시,서초구,포장,331464,-,
1995,서울시,강남구,포장,348135,-,
1995,서울시,송파구,포장,332220,-,
1995,서울시,강동구,포장,203779,-,
1996,서울시,소계,계,7689163,-,
1996,서울시,종로구,계,254168,-,
1996,서울시,중구,계,100348,-,
1996,서울시,용산구,계,271466,-,
1996,서울시,성동구,계,389991,-,
1996,서울시,광진구,계,315480,-,
1996,서울시,동대문구,계,304951,-,
1996,서울시,중랑구,계,293826,-,
1996,서울시,성북구,계,596488,-,
1996,서울시,강북구,계,210757,-,
1996,서울시,도봉구,계,243869,-,
1996,서울시,노원구,계,258466,-,
1996,서울시,은평구,계,324105,-,
1996,서울시,서대문구,계,290123,-,
1996,서울시,마포구,계,382726,-,
1996,서울시,양천구,계,388594,-,
1996,서울시,강서구,계,353714,-,
1996,서울시,구로구,계,261160,-,
1996,서울시,금천구,계,168558,-,
1996,서울시,영등포구,계,374266,-,
1996,서울시,동작구,계,219281,-,
1996,서울시,관악구,계,306316,-,
1996,서울시,서초구,계,341229,-,
1996,서울시,강남구,계,415409,-,
1996,서울시,송파구,계,349537,-,
1996,서울시,강동구,계,274335,-,
1996,서울시,소계,미포장,975611,-,
1996,서울시,종로구,미포장,5957,-,
1996,서울시,성동구,미포장,46630,-,
1996,서울시,광진구,미포장,23072,-,
1996,서울시,동대문구,미포장,31498,-,
1996,서울시,중랑구,미포장,66952,-,
1996,서울시,성북구,미포장,130219,-,
1996,서울시,강북구,미포장,2115,-,
1996,서울시,도봉구,미포장,2579,-,
1996,서울시,노원구,미포장,75361,-,
1996,서울시,은평구,미포장,75879,-,
1996,서울시,서대문구,미포장,34514,-,
1996,서울시,마포구,미포장,3937,-,
1996,서울시,양천구,미포장,90904,-,
1996,서울시,강서구,미포장,61483,-,
1996,서울시,구로구,미포장,86092,-,
1996,서울시,금천구,미포장,29376,-,
1996,서울시,영등포구,미포장,37808,-,
1996,서울시,동작구,미포장,53230,-,
1996,서울시,관악구,미포장,43001,-,
1996,서울시,서초구,미포장,5140,-,
1996,서울시,강남구,미포장,66174,-,
1996,서울시,송파구,미포장,1830,-,
1996,서울시,강동구,미포장,1860,-,
1996,서울시,소계,포장,6713552,-,
1996,서울시,종로구,포장,248211,-,
1996,서울시,중구,포장,100348,-,
1996,서울시,용산구,포장,271466,-,
1996,서울시,성동구,포장,343361,-,
1996,서울시,광진구,포장,292408,-,
1996,서울시,동대문구,포장,273453,-,
1996,서울시,중랑구,포장,226874,-,
1996,서울시,성북구,포장,466269,-,
1996,서울시,강북구,포장,208642,-,
1996,서울시,도봉구,포장,241290,-,
1996,서울시,노원구,포장,183105,-,
1996,서울시,은평구,포장,248226,-,
1996,서울시,서대문구,포장,255609,-,
1996,서울시,마포구,포장,378789,-,
1996,서울시,양천구,포장,297690,-,
1996,서울시,강서구,포장,292231,-,
1996,서울시,구로구,포장,175068,-,
1996,서울시,금천구,포장,139182,-,
1996,서울시,영등포구,포장,336458,-,
1996,서울시,동작구,포장,166051,-,
1996,서울시,관악구,포장,263315,-,
1996,서울시,서초구,포장,336089,-,
1996,서울시,강남구,포장,349235,-,
1996,서울시,송파구,포장,347707,-,
1996,서울시,강동구,포장,272475,-,
1997,서울시,소계,계,7737101,0,
1997,서울시,종로구,계,256243,0,
1997,서울시,중구,계,101243,0,
1997,서울시,용산구,계,272934,0,
1997,서울시,성동구,계,390736,0,
1997,서울시,광진구,계,316041,0,
1997,서울시,동대문구,계,306185,0,
1997,서울시,중랑구,계,297609,0,
1997,서울시,성북구,계,597989,0,
1997,서울시,강북구,계,212236,0,
1997,서울시,도봉구,계,246153,0,
1997,서울시,노원구,계,262707,0,
1997,서울시,은평구,계,324630,0,
1997,서울시,서대문구,계,292075,0,
1997,서울시,마포구,계,389100,0,
1997,서울시,양천구,계,390173,0,
1997,서울시,강서구,계,355805,0,
1997,서울시,구로구,계,264172,0,
