"year","gu_nm","key1","key2","lot_ct","area_total","jiga_total","jiga_avg"
2013,"서대문구","용도지역","제1종전용주거지역",923,304457.4,563416144000,1850558
2013,"성북구","용도지역","제1종전용주거지역",2043,957597,1761355634000,1839350
2013,"은평구","용도지역","제1종전용주거지역",199,67669.1,117260925000,1732858
2013,"강서구","용도지역","제1종전용주거지역",803,158209,216821819000,1370477
2013,"노원구","용도지역","제1종전용주거지역",69,13703,17523840000,1278832
2013,"종로구","용도지역","제1종전용주거지역",2593,1543566,1888099887800,1223206
2013,"광진구","용도지역","제1종전용주거지역",29,145307,145005600000,997926
2013,"강남구","용도지역","제2종일반주거지역",13017,8074737.2,41047415757900,5083437
2013,"서초구","용도지역","제2종일반주거지역",11790,5419987.5,26621857180100,4911793
2013,"용산구","용도지역","제2종일반주거지역",18880,3732404,14823336788500,3971525
2013,"강동구","용도지역","제2종일반주거지역",17599,7978255.1,25331270842400,3175039
2013,"송파구","용도지역","제2종일반주거지역",20920,8447375.2,26285151980500,3111635
2013,"중구","용도지역","제2종일반주거지역",10897,1765627.1,4963572404500,2811224
2013,"종로구","용도지역","제2종일반주거지역",16184,2784706,7559393478000,2714611
2013,"마포구","용도지역","제2종일반주거지역",32102,7464744.9,19892409202200,2664848
2013,"광진구","용도지역","제2종일반주거지역",19027,5598692.6,14157230313100,2528667
2013,"동작구","용도지역","제2종일반주거지역",24227,5833758.6,13657782338600,2341163
2013,"양천구","용도지역","제2종일반주거지역",16346,6088997,13790684793500,2264853
2013,"서대문구","용도지역","제2종일반주거지역",24120,4457411.9,10016681235600,2247197
2013,"성동구","용도지역","제2종일반주거지역",16104,4344827.9,9742418829700,2242303
2013,"동대문구","용도지역","제2종일반주거지역",30645,5627980.4,12093477595100,2148813
2013,"관악구","용도지역","제2종일반주거지역",28099,6162030.5,13064395641300,2120145
2013,"은평구","용도지역","제2종일반주거지역",31113,8083831.7,16807198590300,2079113
2013,"성북구","용도지역","제2종일반주거지역",35815,6968492.9,14214929340700,2039886
2013,"영등포구","용도지역","제2종일반주거지역",24485,4732956.2,9590041766400,2026227
2013,"강서구","용도지역","제2종일반주거지역",21428,6018983.4,11505363122100,1911513
2013,"구로구","용도지역","제2종일반주거지역",20422,5743664.7,10714837794600,1865505
2013,"금천구","용도지역","제2종일반주거지역",12401,3210611.3,5604224273100,1745532
2013,"중랑구","용도지역","제2종일반주거지역",25435,5657204.1,9835746391800,1738623
2013,"노원구","용도지역","제2종일반주거지역",11546,4731096.6,8063806778000,1704427
2013,"강북구","용도지역","제2종일반주거지역",28304,5410497.9,8616504771400,1592553
2013,"도봉구","용도지역","제2종일반주거지역",12247,3335250.1,5186685964000,1555112
2013,"은평구","용도지역","제2종전용주거지역",22,582807,1618722960000,2777460
2013,"노원구","용도지역","제2종전용주거지역",4,85184,136106520000,1597794
2013,"강남구","용도지역","제3종일반주거지역",8259,9252403.1,74472006249500,8048937
2013,"용산구","용도지역","제3종일반주거지역",4183,2245649.3,13991219095200,6230367
2013,"서초구","용도지역","제3종일반주거지역",5580,8129253.2,50311356073500,6188927
2013,"송파구","용도지역","제3종일반주거지역",6091,9830100.6,49481358782600,5033657
2013,"중구","용도지역","제3종일반주거지역",3324,1129062.4,5210206480600,4614631
2013,"종로구","용도지역","제3종일반주거지역",2912,736442.6,3273785979500,4445405
2013,"강동구","용도지역","제3종일반주거지역",4450,3618243.5,15004839187800,4146995
2013,"영등포구","용도지역","제3종일반주거지역",1721,1673545.6,6063711886800,3623273
2013,"마포구","용도지역","제3종일반주거지역",8294,3384666.1,11776619559500,3479404
2013,"양천구","용도지역","제3종일반주거지역",4450,4776235.2,15772557813900,3302299
2013,"성동구","용도지역","제3종일반주거지역",9569,3024550.6,9935747084700,3285033
2013,"광진구","용도지역","제3종일반주거지역",4750,2465767.4,7890739190200,3200115
2013,"동작구","용도지역","제3종일반주거지역",9412,3732249.2,11833430168600,3170590
2013,"관악구","용도지역","제3종일반주거지역",6236,3187305,8993009636600,2821509
2013,"강서구","용도지역","제3종일반주거지역",5204,5107372.6,14158748285900,2772218
2013,"서대문구","용도지역","제3종일반주거지역",8629,2663861.1,7238919950300,2717454
2013,"성북구","용도지역","제3종일반주거지역",8273,4110674.2,10399691633900,2529924
2013,"은평구","용도지역","제3종일반주거지역",7335,2140245.1,5307699515500,2479949
2013,"동대문구","용도지역","제3종일반주거지역",8740,3853955,9353285646700,2426932
2013,"금천구","용도지역","제3종일반주거지역",652,841043.3,1989177647000,2365131
2013,"강북구","용도지역","제3종일반주거지역",5958,2208104.2,5169058540800,2340949
2013,"구로구","용도지역","제3종일반주거지역",6212,2739145.5,6245980114200,2280266
2013,"노원구","용도지역","제3종일반주거지역",3997,7635776.1,16123939548700,2111631
2013,"도봉구","용도지역","제3종일반주거지역",2371,2570605.6,5238922926100,2038011
2013,"중랑구","용도지역","제3종일반주거지역",7703,3289427.1,6507299771500,1978247
2013,"성동구","용도지역","준공업지역",3712,2022150.8,6498045341300,3213433
2013,"영등포구","용도지역","준공업지역",9790,4727835.1,13832488687600,2925755
2013,"강서구","용도지역","준공업지역",2409,2719337.6,7558823687700,2779656
2013,"구로구","용도지역","준공업지역",4223,4207333.3,9509958151900,2260329
2013,"금천구","용도지역","준공업지역",3275,4206173.9,8510564241200,2023351
2013,"도봉구","용도지역","준공업지역",2340,1495703.5,2892894992900,1934137
2013,"양천구","용도지역","준공업지역",10,76514.6,74742147200,976835
2013,"강남구","용도지역","준주거지역",389,200744.2,1622848576000,8084162
2013,"서초구","용도지역","준주거지역",194,333234,2273955525000,6823900
2013,"용산구","용도지역","준주거지역",2358,489106.9,3079205848000,6295568
2013,"종로구","용도지역","준주거지역",1061,247457.1,1540296166500,6224498
2013,"서대문구","용도지역","준주거지역",2068,315759.2,1908322248600,6043600
2013,"광진구","용도지역","준주거지역",1669,908675,4283143718100,4713615
2013,"중구","용도지역","준주거지역",1331,284166.9,1333347889300,4692129
2013,"송파구","용도지역","준주거지역",893,683270.4,3167555052500,4635873
2013,"동작구","용도지역","준주거지역",825,170188.2,730602342000,4292908
2013,"노원구","용도지역","준주거지역",796,337686.8,1434216233000,4247179
2013,"마포구","용도지역","준주거지역",2482,756969.5,3100207161500,4095551
2013,"관악구","용도지역","준주거지역",2883,666211.6,2587580543600,3884022
2013,"양천구","용도지역","준주거지역",930,305137.3,1144244959800,3749935
2013,"강서구","용도지역","준주거지역",694,705092.9,2639185096200,3743032
2013,"성북구","용도지역","준주거지역",3085,491810.7,1690871965400,3438054
2013,"강북구","용도지역","준주거지역",1923,417297.5,1425087693600,3415040
2013,"성동구","용도지역","준주거지역",930,275729.8,938127810600,3402345
2013,"동대문구","용도지역","준주거지역",2469,578668.7,1923906184200,3324711
2013,"영등포구","용도지역","준주거지역",4061,844775.9,2796378005400,3310201
2013,"구로구","용도지역","준주거지역",1382,359867,1138838881000,3164610
2013,"은평구","용도지역","준주거지역",3262,964507.4,2736295981900,2836988
2013,"금천구","용도지역","준주거지역",859,218611.1,602585077000,2756425
2013,"중랑구","용도지역","준주거지역",2347,739687.2,1916952990100,2591572
2013,"도봉구","용도지역","준주거지역",864,316984.5,821317146600,2591033
2013,"강동구","용도지역","준주거지역",1092,506748.3,1257885951000,2482270
2013,"중구","용도지역","중심상업지역",1062,341510.2,7624312366000,22325284
2014,"마포구","용도지역","개발제한구역",47,90585,45228612600,499295
2014,"송파구","용도지역","개발제한구역",597,972668.8,448200836500,460795
