"year","key1","key2","speed"
2002,"시간대별","전일",22.5
2002,"시간대별","오전",23.4
2002,"시간대별","낮",24.1
2002,"시간대별","오후",18.9
2003,"시간대별","전일",20.2
2003,"시간대별","오전",21.4
2003,"시간대별","낮",21
2003,"시간대별","오후",17.1
2004,"시간대별","전일",20.5
2004,"시간대별","오전",21.8
2004,"시간대별","낮",21.3
2004,"시간대별","오후",17.5
2005,"시간대별","전일",20.8
2005,"시간대별","오전",22.1
2005,"시간대별","낮",21.7
2005,"시간대별","오후",17.9
2006,"시간대별","전일",20.8
2006,"시간대별","오전",21.9
2006,"시간대별","낮",21.7
2006,"시간대별","오후",17.8
2007,"시간대별","전일",21
2007,"시간대별","오전",22.1
2007,"시간대별","낮",21.9
2007,"시간대별","오후",17.9
2008,"시간대별","전일",24.4
2008,"시간대별","오전",25.1
2008,"시간대별","낮",25.7
2008,"시간대별","오후",21.2
2009,"시간대별","전일",24
2009,"시간대별","오전",24.4
2009,"시간대별","낮",25.4
2009,"시간대별","오후",20.7
2010,"시간대별","전일",24
2010,"시간대별","오전",24
2010,"시간대별","낮",25.4
2010,"시간대별","오후",20.9
2013,"시간대별","전일",26.4
2013,"시간대별","오전",28.2
2013,"시간대별","낮",26.2
2013,"시간대별","오후",23.4
2014,"시간대별","전일",25.7
2014,"시간대별","오전",28
2014,"시간대별","낮",26.1
2014,"시간대별","오후",22.6
2015,"시간대별","전일",25.2
2015,"시간대별","오전",27.3
2015,"시간대별","낮",25.7
2015,"시간대별","오후",22
2016,"시간대별","전일",24.2
2016,"시간대별","오전",27
2016,"시간대별","낮",24.2
2016,"시간대별","오후",20.9
2017,"시간대별","전일",24.2
2017,"시간대별","오전",26.9
2017,"시간대별","낮",24.3
2017,"시간대별","오후",20.9
2018,"시간대별","전일",23.9
2018,"시간대별","오전",26.4
2018,"시간대별","낮",24
2018,"시간대별","오후",20.6
2019,"시간대별","전일",23.8
2019,"시간대별","오전",26
2019,"시간대별","낮",23.8
2019,"시간대별","오후",20.4
2020,"시간대별","전일",24.1
2020,"시간대별","오전",25.9
2020,"시간대별","낮",24.2
2020,"시간대별","오후",21
2021,"시간대별","전일",23
2021,"시간대별","오전",24.9
2021,"시간대별","낮",22.7
2021,"시간대별","오후",20
